GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
299.4682,+47.8742,     895,J1241.6-1456 ,  0,Y,RX J1241.8-1455           ,190.45568,-14.93292, 0.049, 0.080,bll    ,HSP,15.875,15.875,        , 0.998, 0.000, 0.927,      ,    17.29,N, 181.000,16.579,16.280, 0.30, 1.03
296.1356,+69.3443,     896,J1241.9+0639 ,  0,Y,1ES 1239+069              ,190.45102,+06.59976, 0.066, 0.093,bll    ,HSP,15.000,15.061, 0.15000, 0.982, 0.000, 0.000,-0.351,    16.62,N,  17.600,18.675,18.120, 0.45, 0.89
133.0069,+80.5046,     897,J1243.1+3627 ,  0,Y,Ton 116                   ,190.80307,+36.46222, 0.010, 0.023,bll    ,HSP,16.150,16.150,        , 0.999, 0.928, 0.968,      ,   148.04,N, 162.000,16.250,15.640, 0.32, 1.14
299.0926,+60.5047,     898,J1243.9-0217 ,  0,N,PMN J1243-0218            ,190.96870,-02.31067, 0.028, 0.139,bcu II ,LSP,12.830,12.830,        , 0.997, 0.000, 0.000,-0.069,    77.84,N,        ,      ,      ,     ,
294.4467,+79.0342,     899,J1244.1+1615 ,  0,N,SDSS J124444.35+161621.7  ,191.18394,+16.27300, 0.133, 0.176,bll    ,-  ,      ,      , 0.45600, 0.917, 0.000, 0.000,      ,    14.39,N,        ,19.473,18.260, 0.36, 1.22
293.3931,+79.1145,     900,J1244.1+1615 ,  0,N,3C 275.1                  ,190.99021,+16.38150, 0.130, 0.176,ssrq   ,-  ,      ,      ,        , 0.000, 0.935, 0.000,      ,  2896.62,N,   7.670,18.846,18.080, 0.71, 1.28
301.7665,+12.9496,     901,J1244.3-4955 ,  0,N,SUMSS J124422-495422      ,191.09574,-49.90619, 0.020, 0.110,bcu II ,ISP,14.726,14.726,        , 0.995, 0.000, 0.000,-0.373,    99.70,S,        ,17.863,      , 0.42,
124.6292,+59.9425,     902,J1244.8+5707 ,  0,Y,1RXS J124510.5+571020     ,191.29166,+57.16510, 0.062, 0.094,bll    ,ISP,14.750,14.750,        , 0.991, 0.000, 0.000,      ,    83.87,N,   5.300,17.332,16.510, 0.40, 1.57
301.6180,+37.0628,     903,J1246.7-2547 ,  0,Y,PKS 1244-255              ,191.69501,-25.79702, 0.008, 0.017,fsrq   ,LSP,13.240,13.454, 0.63500, 1.000, 0.979, 0.949, 0.467,  1165.65,N,  36.300,17.333,      , 0.72, 1.06
125.5935,+72.7165,     904,J1247.0+4421 ,  0,Y,RX J1246.9+4423           ,191.75323,+44.38890, 0.034, 0.095,bll    ,HSP,16.635,16.840, 0.60000, 0.996, 0.000, 0.852,-0.387,    10.73,N,  35.800,17.845,      , 0.27, 1.02
124.0147,+65.6534,     905,J1248.0+5130 ,  0,Y,RX J1248.4+5128           ,192.14293,+51.46885, 0.085, 0.124,bll    ,ISP,14.300,14.431, 0.35100, 0.971, 0.000, 0.000,-0.442,   114.91,N,   5.240,17.905,17.040, 0.43, 1.46
123.7230,+58.7821,     906,J1248.2+5820 ,  0,Y,PG 1246+586               ,192.07827,+58.34131, 0.008, 0.018,bll    ,ISP,14.885,14.885,        , 1.000, 0.949, 0.960,      ,   245.42,N,  64.500,15.718,14.940, 0.38, 1.40
124.8347,+79.9921,     907,J1249.7+3705 ,  0,Y,RX J1249.8+3708           ,192.44480,+37.12998, 0.039, 0.048,bll    ,HSP,15.000,15.000,        , 0.991, 0.000, 0.000,      ,     6.13,N,   3.960,18.930,18.550, 0.35, 1.21
302.4000,+65.1464,     908,J1250.5+0217 ,  0,Y,PKS 1247+025              ,192.63575,+02.27560, 0.023, 0.100,bll    ,LSP,13.521,13.812, 0.95500, 0.996, 0.882, 0.000, 0.511,   340.84,N,        ,19.597,19.030, 0.81,
302.8649,+60.8363,     909,J1251.0-0203 ,  0,Y,TXS 1248-017              ,192.82678,-02.03548, 0.068, 0.094,bcu II ,LSP,13.272,13.272,        , 0.963, 0.000, 0.000, 0.792,   128.04,N,        ,      ,20.050, 0.68,
302.8108,+73.5237,     910,J1251.3+1041 ,  0,Y,1RXS J125117.4+103914     ,192.82452,+10.65203, 0.042, 0.155,bll    ,HSP,15.455,15.550, 0.24540, 0.991, 0.000, 0.000, 0.384,     5.24,N,  14.100,17.568,17.600, 0.28, 1.08
122.3256,+64.1062,     911,J1253.2+5300 ,  0,Y,S4 1250+53                ,193.29967,+53.01993, 0.007, 0.018,bll    ,LSP,13.940,13.940,        , 1.000, 0.965, 0.878,      ,   488.30,N,   4.750,16.721,16.900, 0.55, 1.52
304.3887,+66.3069,     912,J1253.7+0327 ,  0,Y,MG1 J125348+0326          ,193.44586,+03.44179, 0.025, 0.044,bll    ,HSP,15.394,15.422, 0.06570, 0.997, 0.870, 0.889,-1.362,   107.11,N,  29.500,12.319,14.110, 0.22, 1.56
122.4297,+54.4098,     913,J1254.1+6240 ,  0,Y,1RXS J125400.1+624303     ,193.49713,+62.71600, 0.044, 0.072,bll    ,HSP,15.176,15.176,        , 0.993, 0.000, 0.000,      ,    12.14,N,   5.660,19.319,18.130, 0.36, 1.26
303.8307,+40.7961,     914,J1254.1-2203 ,  0,Y,NVSS J125422-220413       ,193.59367,-22.07050, 0.058, 0.091,bcu II ,ISP,14.340,14.340,        , 0.998, 0.000, 0.000, 0.452,    27.71,N,        ,18.915,      , 0.44,
311.2483,+85.0057,     915,J1254.5+2210 ,  0,Y,TXS 1252+224              ,193.63864,+22.18435, 0.013, 0.053,bll    ,HSP,15.200,15.200,        , 1.000, 0.866, 0.000,      ,   101.26,N,        ,18.077,16.740, 0.37, 1.49
303.5947,+18.4515,     916,J1254.9-4423 ,  0,Y,PKS 1252-441              ,193.73964,-44.41572, 0.022, 0.082,bll    ,LSP,13.799,13.816, 0.04100, 0.999, 0.899, 0.000,-0.242,   368.10,S,        , 9.773,      ,-0.05,
305.1043,+57.0624,     917,J1256.1-0547 ,  1,Y,3C 279                    ,194.04653,-05.78931, 0.006, 0.012,fsrq   ,LSP,12.920,13.106, 0.53600, 1.000, 0.995, 0.985, 0.375,  9711.87,N, 405.000,16.545,      , 0.83, 0.75
304.8128,+51.0771,     918,J1256.3-1146 ,  0,Y,PMN J1256-1146            ,194.06647,-11.77704, 0.020, 0.039,bcu I  ,HSP,15.698,15.722, 0.05791, 0.999, 0.847, 0.875,-1.589,    54.51,N,  17.100,11.396,      ,-0.04, 2.17
121.1975,+63.5375,     919,J1256.7+5328 ,  0,N,TXS 1254+538              ,194.16096,+53.57325, 0.106, 0.143,bcu II ,LSP,13.250,13.250,        , 0.929, 0.000, 0.000, 2.150,   186.50,N,        ,      ,19.510, 0.65,
