GLON,GLAT,RECNO,ASSOC_3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,FRad,n_FRad,FX,LR-XG
173.2061,+07.6502,      51,J0601.0+3837,  0,B2 0557+38           ,090.26196,+38.64144, 0.017, 0.053,bll    ,LSP,13.810,13.810,        ,      , 0.945, 705.00,N,      ,      
188.0689,+00.0390,      52,J0603.8+2155,  0,4C +22.12            ,090.96482,+21.99381, 0.066, 0.058,bcu II ,LSP,13.250,13.250,        , 0.981, 0.955,2772.00,N,      ,      
183.6172,+04.5392,      53,J0611.7+2759,  0,GB6 J0611+2803       ,092.93284,+28.06449, 0.067, 0.107,bcu III,-  ,      ,      ,        , 0.991,      ,  22.20,N,      ,      
185.7393,+05.6620,      54,J0620.4+2644,  0,RX J0620.6+2644      ,095.16716,+26.72524, 0.044, 0.063,bcu II ,HSP,16.085,16.085,        ,      , 0.805,  82.60,N,214.00, 0.940
179.9332,+09.1439,      55,J0622.9+3326,  0,B2 0619+33           ,095.71759,+33.43622, 0.014, 0.018,bcu II ,ISP,14.050,14.050,        , 0.999, 0.938, 240.00,N,      ,      
182.3992,+08.0110,      56,J0623.3+3043,  0,GB6 J0623+3045       ,095.81747,+30.74889, 0.025, 0.065,bcu II ,ISP,14.790,14.790,        , 0.996, 0.800,  52.20,N,      ,      
192.5193,+04.8368,      57,J0631.2+2019,  0,TXS 0628+203         ,097.75443,+20.34978, 0.050, 0.106,bcu II ,HSP,15.000,15.000,        , 0.990, 0.862, 317.00,N,      ,      
223.2104,-08.3101,      58,J0640.0-1252,  0,TXS 0637-128         ,100.02993,-12.88761, 0.015, 0.040,bcu II ,HSP,16.050,16.050,        , 0.998, 0.915, 225.00,N,312.00, 0.967
214.8225,-03.6563,      59,J0641.8-0319,  0,TXS 0639-032         ,100.46305,-03.34683, 0.029, 0.142,bcu II ,LSP,12.760,12.760,        , 0.987, 0.920, 820.00,N,      ,      
204.0465,+02.3126,      60,J0643.2+0859,  0,PMN J0643+0857       ,100.86019,+08.96056, 0.066, 0.063,fsrq   ,LSP,13.000,13.275, 0.88200, 0.975,      , 543.00,N,      ,      
198.1672,+06.5811,      61,J0648.1+1606,  0,1RXS J064814.1+160708,102.05790,+16.11576, 0.018, 0.045,bcu II ,HSP,16.300,16.300,        ,      ,      ,  25.00,N, 34.60, 0.904
